Date,Open,High,Low,Close,Volume,RSI,Signal,Equity
2023-02-21,9.5,10.074999809265137,9.100000381469728,9.100000381469728,1730620,47.61905076454136,0,3023.8806765869676
2023-02-22,9.050000190734863,9.354999542236328,8.5,9.0,1695180,41.42856974180037,0,3023.8806765869676
2023-02-23,9.199999809265137,9.25,8.600000381469727,8.899999618530273,1199860,33.15507612310458,0,3023.8806765869676
2023-02-24,8.600000381469727,8.699999809265137,7.949999809265137,8.149999618530273,1798480,34.065929920024445,0,3023.8806765869676
2023-02-27,8.449999809265137,8.850000381469727,8.199999809265137,8.350000381469727,1533540,28.994089251267553,1,3023.8806765869676
2023-02-28,8.300000190734863,8.640000343322754,8.100000381469727,8.25,2145760,32.6666685316293,0,2987.6664002560715
2023-03-01,8.199999809265137,8.600000381469727,8.0,8.199999809265137,1377780,32.88590870356265,0,2969.5592620906236
2023-03-02,8.0,8.25,7.75,8.149999618530273,1207160,41.525425920537955,0,2951.452123925176
2023-03-03,7.75,8.050000190734863,7.550000190734863,7.800000190734863,2117280,44.5454606931061,0,2824.7028474969093
2023-03-06,7.849999904632568,8.399999618530273,7.75,7.849999904632568,1640160,47.61904372650045,0,2842.80981297989
2023-03-07,7.949999809265137,8.0,7.349999904632568,7.550000190734863,1913980,35.10639247660812,0,2734.1675020346042
2023-03-08,7.550000190734863,7.650000095367432,7.199999809265137,7.400000095367432,2233040,11.111134658613281,1,2679.8462602207273
2023-03-09,7.300000190734863,7.425000190734863,6.300000190734863,6.349999904632568,2077280,9.195422584423468,1,2299.5977402060585
2023-03-10,6.5,6.699999809265137,6.050000190734863,6.300000190734863,1682840,5.882362840907632,1,2281.490774723078
2023-03-13,6.699999809265137,8.050000190734863,6.5,7.5,3755760,32.222221751272016,0,2716.060363869156
2023-03-14,8.75,9.25,8.100000381469727,8.399999618530273,4137100,44.339619246442574,0,3041.987469387481
2023-03-15,8.399999618530273,8.550000190734863,7.699999809265137,8.25,1989500,43.92523656027642,0,2987.6664002560715
2023-03-16,8.25,8.75,8.050000190734863,8.600000381469727,1407640,54.54546242706077,0,3114.4160220492727
2023-03-17,9.25,9.5,8.899999618530273,9.399999618530272,3380280,59.459455511938536,0,3404.128851236701
2023-03-20,10.050000190734863,10.050000190734863,9.149999618530272,9.199999809265137,3328580,58.40708136381222,0,3331.7006439398447
2023-03-21,9.25,10.050000190734863,9.050000190734863,10.0,2810200,64.06250651926035,0,3621.413818492208
