Date,Open,High,Low,Close,Volume,SMA_Short,SMA_Long,Signal,Equity
2022-11-10,27.848341564437387,28.764406193994382,27.62655811575354,28.69690704345703,62943900,27.616914749145508,27.565487543741863,1,5559.14827449053
2022-11-11,27.89655519770834,29.53582624543612,27.83869904852623,29.34297180175781,49826500,29.019939422607422,28.192267100016277,1,5684.303566692509
2022-11-14,29.256187995145748,29.88296818436314,29.10190369746805,29.265830993652344,39395300,29.304401397705078,29.101903279622395,1,5669.359893856168
2022-11-15,29.98903994480018,30.220466396071025,29.09226129661693,29.61297035217285,40933200,29.439400672912598,29.407257715861004,1,5736.607530091134
2022-11-16,29.03440541472817,29.15011772183715,28.388339209192143,28.47512435913086,35582800,29.044047355651855,29.11797523498535,-1,5516.184660850333
2022-11-17,28.031552482172028,28.880117889265293,27.96405333735606,28.8222599029541,31983300,28.64869213104248,28.970118204752605,-1,5516.184660850333
2022-11-18,29.1790462667312,29.1790462667312,28.55226606848289,28.802978515625,27122200,28.81261920928955,28.70012092590332,1,5516.184660850333
2022-11-21,28.60047977182364,28.65833592559415,27.877271412443307,27.906200408935547,36086800,28.354589462280273,28.51047960917155,-1,5344.43875500163
2022-11-22,28.099053475255506,28.793334642947404,28.02191132764684,28.754762649536133,25584100,28.33048152923584,28.487980524698894,-1,5344.43875500163
2022-11-23,28.6679788342526,29.00547643541131,28.436552380684496,28.610122680664062,23143900,28.682442665100098,28.423695246378582,1,5344.43875500163
2022-11-25,28.61976476337277,28.61976476337277,28.29191017150879,28.29191017150879,11314900,28.451016426086426,28.552265167236328,-1,5284.995903768939
2022-11-28,28.06048654988846,28.14727170583604,27.52049145449227,27.703702926635746,28267900,27.997806549072266,28.20191192626953,-1,5284.995903768939
2022-11-29,27.81941303909248,28.13762461826266,27.713341899631143,27.867626190185547,24361500,27.785664558410645,27.954413096110027,-1,5284.995903768939
2022-11-30,27.74227206955256,29.00547544170736,27.21191818898294,28.995832443237305,72072500,28.431729316711426,28.189053853352863,1,5284.995903768939
2022-12-01,29.15975994826637,29.39118639556841,28.46548060636023,28.764406204223636,38896300,28.88011932373047,28.542621612548828,1,5242.81443760113
2022-12-02,28.127984777812785,28.3786972379118,27.68441601326405,28.359411239624023,31546000,28.561908721923828,28.706549962361652,-1,5168.997045631229
2022-12-05,28.369048692388557,28.68726024506781,27.857980872964543,28.127979278564453,34040400,28.24369525909424,28.41726557413737,-1,5168.997045631229
2022-12-06,28.147270318176886,28.262982627592987,27.327633796421196,27.578346252441406,27701200,27.85316276550293,28.02191225687663,-1,5168.997045631229
2022-12-07,27.26977619619987,27.5301297981923,27.144419055227683,27.317989349365234,28239900,27.44816780090332,27.674771626790363,-1,5168.997045631229
2022-12-08,27.30834667765227,27.578345120565167,27.06727723051309,27.424060821533203,28486100,27.37102508544922,27.44013214111328,-1,5168.997045631229
2022-12-09,27.37584628944802,27.751915883981724,27.18299183201833,27.231204986572266,25641300,27.327632904052734,27.324418385823567,1,5168.997045631229
2022-12-12,27.125133722644023,27.684414773444505,26.864780114274836,27.66513061523437,35117900,27.44816780090332,27.44013214111328,1,5251.3643258777
2022-12-13,28.725838799081856,29.015121426097725,27.35656414205952,27.703702926635746,58546800,27.68441677093506,27.53334617614746,1,5258.686079130088
2022-12-14,27.491561556980898,28.079771630451443,27.009422634913637,27.250492095947266,37141100,27.477097511291504,27.539775212605793,-1,5172.658103282821
2022-12-15,26.94192178061076,26.99977793262936,26.151214292572263,26.18014144897461,45682700,26.715316772460938,27.04477882385254,-1,5172.658103282821
2022-12-16,26.0354990029994,26.17049729817023,25.505146981216424,25.958356857299805,81104200,26.069249153137207,26.46299680074056,-1,5172.658103282821
2022-12-19,25.939073308639557,26.00657246259408,25.55336254374656,25.83300399780273,37662500,25.89568042755127,25.990500768025715,-1,5172.658103282821
2022-12-20,25.59193252269879,25.910144108555976,25.476218382744424,25.49550437927246,31863300,25.664254188537598,25.762288411458332,-1,5172.658103282821
2022-12-21,25.64014605042167,26.00657079375305,25.630503052016383,25.87157249450684,28100900,25.68353843688965,25.733360290527344,-1,5172.658103282821
2022-12-22,25.50514828566791,25.50514828566791,24.444442348638717,25.042293548583984,47478300,25.45693302154541,25.46979014078776,-1,5172.658103282821
2022-12-23,24.99408127178997,25.2544367256828,24.762654814734336,25.158008575439453,23600900,25.10015106201172,25.35729153951009,-1,5172.658103282821
2022-12-27,24.926581549900387,25.167651000403847,24.733725253812043,25.01336669921875,29548100,25.0856876373291,25.07122294108073,1,5172.658103282821
2022-12-28,24.91693762344461,25.18693606007268,24.589083035829773,24.627655029296875,26176900,24.820510864257812,24.93301010131836,-1,5092.8945664929315
2022-12-29,24.84943888768116,25.350863775815828,24.83015289062661,25.273719787597656,30944800,24.950687408447266,24.971580505371094,-1,5092.8945664929315
2022-12-30,24.974794832133654,25.51478988904513,24.87836668359597,25.485862731933597,31030100,25.379791259765625,25.129079182942707,1,5092.8945664929315
2023-01-03,26.08371317186176,26.102999168842448,25.428005827443503,25.775144577026367,31308000,25.63050365447998,25.51157569885254,1,5150.702377535247
2023-01-04,26.43085245698635,26.922634320453884,26.189783024259945,26.691207885742188,37665200,26.233176231384277,25.984071731567383,1,5333.761271659973
2023-01-05,26.45978056501245,26.787635129679117,26.401922578861576,26.57549285888672,33552600,26.633350372314453,26.34728177388509,1,5310.637689863569
2023-01-06,26.93228136178404,27.800131082045727,26.401927426636167,27.703702926635746,31788600,27.13959789276123,26.990134557088215,1,5536.090325481124
2023-01-09,27.80977151713731,28.80297829961147,27.80977151713731,28.26298141479492,37493200,27.983342170715332,27.51405906677246,1,5647.85214431621
2023-01-10,28.195481799132445,28.455837238674977,27.88691320673265,28.388338088989254,23008100,28.325659751892086,28.118340810139973,1,5672.902437162605
2023-01-11,28.61976411403725,28.812618561855047,27.96405494518625,28.78369140625,30375400,28.58601474761963,28.478336970011394,1,5751.906737801771
2023-01-12,28.909049833753095,29.2947606103421,28.41726790389685,29.207977294921875,28963900,28.995834350585938,28.79333559672038,1,5836.692696189168
2023-01-13,28.89940271531533,29.09225899572846,28.74511842667035,29.03440284729004,31361900,29.121190071105957,29.008690516153973,1,5802.006942344996
2023-01-17,29.101900686215004,29.179042827071743,28.46547756434345,28.542619705200195,34759100,28.788511276245117,28.928333282470703,-1,5703.732863158972
2023-01-18,28.73547856461602,28.75476456260477,27.60727343127052,27.78084373474121,44199600,28.161731719970703,28.452622095743816,-1,5703.732863158972
2023-01-19,27.58798699952837,27.732628294098987,27.231203422987925,27.404773712158203,36886600,27.592808723449707,27.909412384033203,-1,5703.732863158972
2023-01-20,27.404773681659314,28.185838142842474,27.24084639087136,28.17619514465332,35158500,27.79048442840576,27.78727086385091,1,5703.732863158972
2023-01-23,28.28226481940884,29.40082680237245,28.137623532497187,29.18868637084961,38795800,28.682440757751465,28.25655174255371,1,5908.692384871106
2023-01-24,28.87047656357061,29.111546002854094,28.66797727818127,28.8511905670166,24855100,29.019938468933105,28.738690694173176,1,5840.372801704609
2023-01-25,28.46548113885101,28.822262895410606,28.127983540516905,28.63905143737793,28268000,28.745121002197266,28.89297612508138,-1,5797.429284346424
2023-01-26,28.986190556093007,29.03440555029184,28.28226819371583,29.015119552612305,56088100,28.827085494995117,28.835120519002277,-1,5797.429284346424
2023-01-27,26.102999338615348,27.231204420328744,25.82335973743222,27.154062271118164,148548200,28.084590911865234,28.269411087036133,-1,5797.429284346424
